product_id,product_name,ingredients_text,country,country_group
2.91E+14,Lye football,"wheat flour, water, yeast, rapeseed oil, dining salt, wheat malt flour, wheat glue",Austria,EUwest
2.91E+14,Helical,durum wheat semolina,France,EUwest
2.91E+14,Natural bread,"t65 wheat flour, filtered water, natural sourdough (t70 wheat flour, water, salt), guerande salt",France,EUwest
2.91E+14,Rice Crackers Taste Chile,"rice powder, palm oil, sugar, soy sauce, seaweed, malt dextrin, salt, chilli, e150c coloring",France,EUwest
2.91E+14,Instant noodles soup beef flavour,"noodles (92%) (wheat flour , refined palm oil (contains antioxidant tertiary butylhydroquinone), salt, acidity regulator (potassium carbonate, sodium carbonate, polyphosphates), thickener (guar gum), vitamin b2 (riboflavin),) seasoning powder (7,6%) (salt, sugar, flavour enhancer (monosodium glutamate), artificial beef flavour powder, yeast extract, leek, pepper powder, celery powder, acidity regulator (citric acid), garlic powder, caramel, onion powder,) chili powder (0,4%)",France,EUwest
2.91E+14,Black sepia twists,"higher quality durum wheat semolina, sepia black (3%) (mollusk) , anise",France,EUwest
2.91E+14,4 cheese family pizza,"ble flour, water, mozzarella (20.2%) , edam (7.5%) , double concentrated tomato puree, sunflower oil, auvergne blue (1.6%) , fresh cream salt, onion, emmental (0.7%) , yeast, modified corn starch, oregano, skimmed milk powder, powdered onion, parsley, aromatic plants, garlic powder, black pepper",France,EUwest
2.91E+14,8minis cereal packs,"rice semolina, sugar, whole milk powder (16%), purple chocolate (11%) (sugar, cocoa powder), complete wheat flour, wheat flour, sunflower oil, oatmeal, oilcoco, skimmed milk powder (2%), lactoserum powder, salt, emulsifier sunflower lecithin",France,EUwest
2.91E+14,Sweet vegetal rice,"coconut milk (81%) , camargue rice (9%) , sugar, grated coconut",France,EUwest
2.91E+14,Durum wheat semolina,durum wheat semolina,Belgium,EUwest
2.91E+14,Financier cake,"sugar, wheat flour, vegetable margarine (palm oil, rapeseed oil, water, emulsifier e 471), water, almonds (7%) , egg white powdered (ground farming), emulsifiers e 471,e 475, powder to lift e 500, e 450, wheat starch, aromas, waxy corn starch, glucose, barley flour",France,EUwest
2.91E+14,spiral,higher quality durum semolina (100%),France,EUwest
2.91E+14,The complete,"flour including (46%)complete wheat type 150 (89%), t65 wheat, malted wheat, water, salt, yeast, wheat gluten, flour treatment agent ascorbic acid",France,EUwest
2.91E+14,Cocoa chips,"wheat flour (57%) , sugar, full wheat flour (18%) , cocoa powder (8%), glucose syrup, sunflower oil, lifting powders (diphosphates, sodium acid carbonate), salt, stabilizing (calcium carbonate),natural aroma of vanilla, cinnamon",Netherlands,EUwest
2.91E+14,Almond Crush Pocky,"wheat flour, sugar, almond, whole milk powder, vegetable oil (shea butter, palm oil, sunflower oil, rapeseed oil, illipe butter, sal butter), cacao mass, cocoa butter, vegetable shortening (sunflower oil, palm oil, soybean oil, coconut oil, hydrogenated palm oil,palm kernel oil, hydrogenated rapeseed oil), emulsifiers (soy lecithin, polyglycerol polyricinoleate), salt, yeast, artificial flavors, annatto, leavening agents (sodium bicarbonate)",France,EUwest
2.91E+14,"Pure ox ravioli, cooked tomato sauce","water, ravioli (27%) (semolina of wheat hard water, bovine meat (4%) , breadcrumbs (including gluten), carrot, salt, onion, basil, natural aroma, sunflower oil), tomato mid-light (14%) , carrot, carrot, carrot, carrot, carrotpeeled tomato, beef (3.5%), onion, natural aromas (including celeri), sugar, starch corn, sunflower oil, salt, garlic powder",Belgium,EUwest
2.91E+14,Papadum Madras Trs,"coconut oil, urio flour powder, rice flour, salt, calcium carbonate",France,EUwest
2.91E+14,Tarta de Manzana,"pastry product with sugar and educators, biscult (blue flour (gluten), refined oil of toumesol, sugar, pasteurized liquid egg, humectants (glycerin, sorbitol), glucose and fructose syrup, egg white, water, corn starch, lifting powders (e-500ii, e-503ii), acidic correctors (citric acid (e-450i, 504i), antioxidant (e-336), dextrose, conservative (e-200), salt, aroma, thickening (xanthane gum))), apple (35%), shine (duke and fructose syrup, water, sugar, gelling agent (e-407, e-418), acidity (e-331), conservative (e-202, e-200), thickening (xanthane gum), moisture (glycerin), aroma)",France,EUwest
2.91E+14,Bio corn corn cakes,"corn (99.5%) , sea salt",France,EUwest
2.91E+14,"Alsace pasta with 7 fresh eggs per kilo of durum wheat semolina shells, small nests, butterflies, spaghetti, twists, 100% French wheat","high quality durum wheat semolina, eggs high outdoor hens out of air (30%) (320g per kg of semolina)",France,EUwest
2.91E+14,Preparation for wholemeal bread,"full wheat flour, wheat protein, wheat sourdough, roasted malted barley flour, enzymes, flour processing agent e300",France,EUwest
